Final results:
golden[118] bits: 0x3C1E7E50
dst[119] bits: 0x3C2B3D2C
golden[119] bits: 0x3C2B3DB1
dst[120] bits: 0x3A912F9C
golden[120] bits: 0x3A912CE4
dst[121] bits: 0x3C3D7B30
golden[121] bits: 0x3C3D7BC1
dst[122] bits: 0x3BC10C63
golden[122] bits: 0x3BC10B8E
dst[123] bits: 0x3A11E78C
golden[123] bits: 0x3A11E36D
dst[124] bits: 0x39DF9F16
golden[124] bits: 0x39DF97D6
dst[125] bits: 0x39DDB943
golden[125] bits: 0x39DDB1F7
dst[126] bits: 0x3C063E69
golden[126] bits: 0x3C063ED4
dst[127] bits: 0x3A8DE4B7
golden[127] bits: 0x3A8DE200
dst[128] bits: 0x3A220F83
golden[128] bits: 0x3A220B58
dst[129] bits: 0x3B9F2035
golden[129] bits: 0x3B9F1F80
dst[130] bits: 0x3ACF601D
golden[130] bits: 0x3ACF5C1E
dst[131] bits: 0x3A0A1D1B
golden[131] bits: 0x3A0A199F
dst[132] bits: 0x3A460CB7
golden[132] bits: 0x3A460761
dst[133] bits: 0x3B578C58
golden[133] bits: 0x3B5789BF
dst[134] bits: 0x3A4CEA3F
golden[134] bits: 0x3A4CE4F6
dst[135] bits: 0x3A9BC9C6
golden[135] bits: 0x3A9BC6C5
dst[136] bits: 0x3BE12AFE
golden[136] bits: 0x3BE129FC
dst[137] bits: 0x3B212BEC
golden[137] bits: 0x3B212A07
dst[138] bits: 0x3ABD9631
golden[138] bits: 0x3ABD9272
dst[139] bits: 0x3B2DF247
golden[139] bits: 0x3B2DF03E
dst[140] bits: 0x39E5EB76
golden[140] bits: 0x39E5E3CA
dst[141] bits: 0x3AF56FC0
golden[141] bits: 0x3AF56CFF
dst[142] bits: 0x3B0CCCB5
golden[142] bits: 0x3B0CCAFF
dst[143] bits: 0x3A5DE356
golden[143] bits: 0x3A5DDD96
dst[144] bits: 0x3A21970D
golden[144] bits: 0x3A21928C
dst[145] bits: 0x3C6F0768
golden[145] bits: 0x3C6F0821
dst[146] bits: 0x3B492A51
golden[146] bits: 0x3B4927FD
dst[147] bits: 0x3A7161BB
golden[147] bits: 0x3A715B22
dst[148] bits: 0x3B9363CF
golden[148] bits: 0x3B93631F
dst[149] bits: 0x3C2BA6E9
golden[149] bits: 0x3C2BA76E
dst[150] bits: 0x39E35813
golden[150] bits: 0x39E350C8
dst[151] bits: 0x39E0AC84
golden[151] bits: 0x39E0A445
dst[152] bits: 0x3A3BE41F
golden[152] bits: 0x3A3BDEE9
dst[153] bits: 0x3BE7CA0E
golden[153] bits: 0x3BE7C912
dst[154] bits: 0x3A4686F5
golden[154] bits: 0x3A468184
dst[155] bits: 0x3BDAF6E6
golden[155] bits: 0x3BDAF5F0
dst[156] bits: 0x3BC4FF4F
golden[156] bits: 0x3BC4FE77
dst[157] bits: 0x3B670332
golden[157] bits: 0x3B670080
dst[158] bits: 0x3A7CBEFD
golden[158] bits: 0x3A7CBA50
dst[159] bits: 0x3CA1D311
golden[159] bits: 0x3CA1D4C1
dst[160] bits: 0x3C1EF1BE
golden[160] bits: 0x3C1EF23E
dst[161] bits: 0x3B4E7359
golden[161] bits: 0x3B4E70E7
dst[162] bits: 0x3A7F6264
golden[162] bits: 0x3A7F5D6E
dst[163] bits: 0x3BAEF3BF
golden[163] bits: 0x3BAEF2F2
dst[164] bits: 0x3AFDC36A
golden[164] bits: 0x3AFDC060
dst[165] bits: 0x3B82D389
golden[165] bits: 0x3B82D2EE
dst[166] bits: 0x3ABD03A7
golden[166] bits: 0x3ABD0026
dst[167] bits: 0x3BA3160A
golden[167] bits: 0x3BA31559
dst[168] bits: 0x3A044FA6
golden[168] bits: 0x3A044BD5
dst[169] bits: 0x3AACA642
golden[169] bits: 0x3AACA2E1
dst[170] bits: 0x3C9CEBFA
golden[170] bits: 0x3C9CED9C
dst[171] bits: 0x3C58E703
golden[171] bits: 0x3C58E7AD
dst[172] bits: 0x3AB21B76
golden[172] bits: 0x3AB21816
dst[173] bits: 0x3C4AA093
golden[173] bits: 0x3C4AA12E
dst[174] bits: 0x3AB4F694
golden[174] bits: 0x3AB4F33C
dst[175] bits: 0x3C8BF34C
golden[175] bits: 0x3C8BF4C6
